,Date,Gold,Zinc,Platinum,Silver,Tin,Copper,Year,Month,Date
0,1960M01,35.27,260.8,83.5,0.91,2180.4,715.4,1960,1,1960M01
1,1960M02,35.27,244.9,83.5,0.91,2180.4,728.19,1960,2,1960M02
2,1960M03,35.27,248.7,83.5,0.91,2173.8,684.94,1960,3,1960M03
3,1960M04,35.27,254.6,83.5,0.91,2178.2,723.11,1960,4,1960M04
4,1960M05,35.27,253.8,83.5,0.91,2162.7,684.75,1960,5,1960M05
5,1960M06,35.27,249.8,83.5,0.91,2184.8,691.59,1960,6,1960M06
6,1960M07,35.27,248.7,83.5,0.91,2248.7,702.39,1960,7,1960M07
7,1960M08,35.27,241,83.5,0.91,2204.6,675.94,1960,8,1960M08
8,1960M09,35.27,240.1,83.5,0.91,2226.7,647.06,1960,9,1960M09
9,1960M10,35.27,242.3,83.5,0.91,2226.7,612.66,1960,10,1960M10
10,1960M11,35.27,241.4,83.5,0.91,2204.6,642.13,1960,11,1960M11
11,1960M12,35.27,228.2,83.5,0.91,2189.2,636.91,1960,12,1960M12
12,1961M01,35.25,218,83.5,0.91,2162.7,606.71,1961,1,1961M01
13,1961M02,35.25,228.2,83.5,0.91,2187,616.63,1961,2,1961M02
14,1961M03,35.25,233.2,83.5,0.91,2248.7,621.26,1961,3,1961M03
15,1961M04,35.25,231.3,83.5,0.91,2308.2,631.84,1961,4,1961M04
16,1961M05,35.25,227.1,83.5,0.91,2376.6,668.44,1961,5,1961M05
17,1961M06,35.25,217.8,83.5,0.91,2467,652.12,1961,6,1961M06
18,1961M07,35.25,214.7,83.5,0.91,2519.9,633.39,1961,7,1961M07
19,1961M08,35.25,210.8,83.5,0.91,2605.9,636.47,1961,8,1961M08
20,1961M09,35.25,203.7,83.5,0.91,2630.1,632.72,1961,9,1961M09
21,1961M10,35.25,198.2,83.5,0.91,2605.9,630.3,1961,10,1961M10
22,1961M11,35.25,191.8,83.5,0.92,2667.6,632.28,1961,11,1961M11
23,1961M12,35.25,196.9,83.5,1.03,2619.1,634.85,1961,12,1961M12
24,1962M01,35.23,193.6,83.5,1.04,2610.3,635.37,1962,1,1962M01
25,1962M02,35.23,189.6,83.5,1.02,2623.5,647.94,1962,2,1962M02
26,1962M03,35.23,191.4,83.5,1.02,2652.2,647.5,1962,3,1962M03
27,1962M04,35.23,191.4,83.5,1.02,2614.7,645.95,1962,4,1962M04
28,1962M05,35.23,188.5,83.5,1.02,2533.1,645.73,1962,5,1962M05
29,1962M06,35.23,184.7,83.5,1.02,2414.1,645.51,1962,6,1962M06
30,1962M07,35.23,182.1,83.5,1.04,2376.6,645.51,1962,7,1962M07
31,1962M08,35.23,178.1,83.5,1.08,2350.1,645.51,1962,8,1962M08
32,1962M09,35.23,176.6,83.5,1.15,2350.1,645.51,1962,9,1962M09
33,1962M10,35.23,181.9,83.5,1.21,2358.9,645.95,1962,10,1962M10
34,1962M11,35.23,188.5,83.5,1.19,2407.4,645.51,1962,11,1962M11
35,1962M12,35.23,184.7,83.5,1.2,2365.6,645.73,1962,12,1962M12
36,1963M01,35.09,186.3,83.5,1.24,2350.1,645.51,1963,1,1963M01
37,1963M02,35.09,191.6,83.5,1.26,2350.1,645.51,1963,2,1963M02
38,1963M03,35.09,197.5,83.5,1.27,2358.9,645.51,1963,3,1963M03
39,1963M04,35.09,204.4,78.5,1.27,2427.3,645.73,1963,4,1963M04
40,1963M05,35.09,209.4,78.5,1.28,2495.6,645.51,1963,5,1963M05
41,1963M06,35.09,209.2,78.5,1.28,2500,645.73,1963,6,1963M06
42,1963M07,35.09,204.8,78.5,1.29,2482.4,645.51,1963,7,1963M07
43,1963M08,35.09,210.3,78.95,1.29,2495.6,645.51,1963,8,1963M08
44,1963M09,35.09,211.2,80.75,1.29,2572.8,645.51,1963,9,1963M09
45,1963M10,35.09,220.9,80.5,1.29,2590.4,645.51,1963,10,1963M10
46,1963M11,35.09,231.5,82.97,1.29,2687.4,645.73,1963,11,1963M11
47,1963M12,35.09,261,83.5,1.29,2782.2,650.14,1963,12,1963M12
48,1964M01,35.1,264.1,88.27,1.29,2872.6,655.65,1964,1,1964M01
49,1964M02,35.1,270.5,88.5,1.29,3060,693.79,1964,2,1964M02
50,1964M03,35.1,277.1,88.5,1.29,2958.6,745.16,1964,3,1964M03
51,1964M04,35.1,298.7,88.5,1.29,2879.2,861.56,1964,4,1964M04
52,1964M05,35.1,343,88.5,1.29,2910.1,828.28,1964,5,1964M05
53,1964M06,35.1,357.1,88.5,1.29,3265,808.43,1964,6,1964M06
54,1964M07,35.1,385.1,88.5,1.29,3452.4,854.95,1964,7,1964M07
55,1964M08,35.1,345.2,88.5,1.29,3512,999.33,1964,8,1964M08
56,1964M09,35.1,355.1,88.5,1.29,3933,1162.05,1964,9,1964M09
57,1964M10,35.1,334.4,88.5,1.29,4371.8,1358.27,1964,10,1964M10
58,1964M11,35.1,344.6,88.5,1.29,4105,1400.37,1964,11,1964M11
59,1964M12,35.1,343,88.5,1.29,3633.2,1269.2,1964,12,1964M12
60,1965M01,35.12,322.3,93,1.29,3456.8,1000.68,1965,1,1965M01
61,1965M02,35.12,320.3,98.5,1.29,3390.7,1179.91,1965,2,1965M02
62,1965M03,35.12,315.9,98.5,1.29,3584.7,1237.23,1965,3,1965M03
63,1965M04,35.12,315.9,98.5,1.29,3944.1,1348.34,1965,4,1965M04
64,1965M05,35.12,323.4,98.5,1.29,4215.2,1378.55,1965,5,1965M05
65,1965M06,35.12,314.4,98.5,1.29,4131.5,1308.88,1965,6,1965M06
66,1965M07,35.12,310.4,98.5,1.29,3966.1,1134.06,1965,7,1965M07
67,1965M08,35.12,303.6,98.5,1.29,4091.8,1209.9,1965,8,1965M08
68,1965M09,35.12,299.6,98.5,1.29,4208.6,1327.84,1965,9,1965M09
69,1965M10,35.12,307.8,98.5,1.29,4010.2,1401.92,1965,10,1965M10
70,1965M11,35.12,298.7,98.5,1.29,3820.6,1469.16,1965,11,1965M11
71,1965M12,35.12,302.7,98.5,1.29,3869.1,1517.66,1965,12,1965M12
72,1966M01,35.13,302.7,98.5,1.29,3926.4,1679.04,1966,1,1966M01
73,1966M02,35.13,299.8,98.5,1.29,3877.9,1874.37,1966,2,1966M02
74,1966M03,35.13,300.7,99.65,1.29,3772.1,1874.81,1966,3,1966M03
75,1966M04,35.13,278.7,100,1.29,3763.3,1907.44,1966,4,1966M04
76,1966M05,35.13,270,100,1.29,3688.3,1663.61,1966,5,1966M05
77,1966M06,35.13,272.1,100,1.29,3516.4,1695.79,1966,6,1966M06
78,1966M07,35.13,264.6,100,1.29,3514.2,1567.93,1966,7,1966M07
79,1966M08,35.13,264.6,100,1.29,3428.2,1195.34,1966,8,1966M08
80,1966M09,35.13,270.5,100,1.29,3377.5,1128.32,1966,9,1966M09
81,1966M10,35.13,276,100,1.29,3362,1275.37,1966,10,1966M10
82,1966M11,35.13,288.1,100,1.29,3320.2,1301.61,1966,11,1966M11
83,1966M12,35.13,285.5,100,1.29,3335.6,1214.53,1966,12,1966M12
84,1967M01,34.95,279.5,102.93,1.29,3302.5,1243.85,1967,1,1967M01
85,1967M02,34.95,282.2,110.5,1.29,3309.1,1220.48,1967,2,1967M02
86,1967M03,34.95,279.3,110.5,1.29,3318,1098.34,1967,3,1967M03
87,1967M04,34.95,272.1,110.5,1.29,3351,994.72,1967,4,1967M04
88,1967M05,34.95,275.1,110.5,1.3,3357.6,1036.17,1967,5,1967M05
89,1967M06,34.95,274.3,110.5,1.3,3366.5,1015.22,1967,6,1967M06
90,1967M07,34.95,267.2,110.5,1.59,3362,997.37,1967,7,1967M07
91,1967M08,34.95,268.7,110.5,1.75,3291.5,1044.55,1967,8,1967M08
92,1967M09,34.95,264.6,110.5,1.68,3267.2,1060.2,1967,9,1967M09
93,1967M10,34.95,263.9,110.5,1.79,3280.5,1138.47,1967,10,1967M10
94,1967M11,34.95,287,110.5,1.95,3298.1,1443.81,1967,11,1967M11
95,1967M12,34.95,266.1,115.05,2.06,3192.3,1324.09,1967,12,1967M12
96,1968M01,35.5,262.8,114,1.99,3126.2,1408.75,1968,1,1968M01
97,1968M02,36,259.7,111.5,1.85,3110.7,1719.82,1968,2,1968M02
98,1968M03,37,257.5,111.5,2.18,3112.9,1701.08,1968,3,1968M03
99,1968M04,37.86,258.2,111.5,2.2,3106.3,1255.09,1968,4,1968M04
100,1968M05,40.7,261.5,111.5,2.38,3084.3,1096.58,1968,5,1968M05
101,1968M06,41.14,262.1,111.5,2.46,3084.3,1136.7,1968,6,1968M06
102,1968M07,39.46,265.7,122.5,2.31,3075.4,1054.25,1968,7,1968M07
103,1968M08,39.19,269,122.5,2.19,3062.2,1056.45,1968,8,1968M08
104,1968M09,40.18,263,122.5,2.21,3071,1110.03,1968,9,1968M09
105,1968M10,39.21,262.1,122.5,1.97,3110.7,1079.82,1968,10,1968M10
106,1968M11,39.78,264.1,122.5,2.02,3320.2,1099.88,1968,11,1968M11
107,1968M12,41.08,269,122.5,1.96,3258.4,1184.98,1968,12,1968M12
108,1969M01,42.3,269.4,122.5,1.98,3227.6,1255.53,1969,1,1969M01
109,1969M02,42.6,267.4,122.5,1.84,3245.2,1285.29,1969,2,1969M02
110,1969M03,43.16,271.6,122.5,1.83,3243,1278.46,1969,3,1969M03
111,1969M04,43.31,272.7,122.5,1.78,3304.7,1388.03,1969,4,1969M04
